first_name,last_name,age,latitude,longitude,sourced_2024,sourced_2025,gender,fund
Ena,Bashirian,25,0.551762,36.487817,FALSE,TRUE,male,FUND2
Jeff,Raynor,34,0.011088,37.237821,FALSE,TRUE,male,FUND3
Fidel,Hamill,35,0.687686,38.185429,TRUE,FALSE,female,FUND1
Liza,Osinski,51,0.288468,38.065647,TRUE,TRUE,female,FUND3
Mac,Kerluke,55,3.101119,36.292276,TRUE,FALSE,female,FUND3
Orrin,Berge,38,1.658506,36.792573,TRUE,TRUE,female,FUND2
Rex,Kirlin,32,-1.38545,38.329718,TRUE,FALSE,male,FUND1
Angelina,Rau,27,2.011546,37.431207,FALSE,TRUE,male,FUND1
Israel,O'Hara,73,-0.920084,36.906393,TRUE,TRUE,male,FUND3
Caroline,Cormier,48,3.050927,37.734935,FALSE,FALSE,male,FUND2
Garrick,Gerlach,37,-1.377276,37.882324,TRUE,TRUE,female,FUND3
Annabel,Cremin,23,1.67228,37.566715,TRUE,TRUE,female,FUND2
Kip,Walter,77,-0.247817,36.576843,FALSE,FALSE,male,FUND1
Israel,Halvorson,46,2.107442,38.227659,TRUE,FALSE,male,FUND1
Esta,Huel,64,2.826041,37.962202,FALSE,FALSE,female,FUND1
Addison,Marvin,77,1.531447,38.409678,FALSE,FALSE,male,FUND3
Lane,Collier,31,-0.340479,37.048312,FALSE,TRUE,male,FUND2
Darius,Stamm-Ledner,36,2.857965,37.16167,FALSE,TRUE,male,FUND1
Trace,Barrows,76,2.067299,36.977978,TRUE,FALSE,male,FUND3
Isidro,Torp,69,2.886224,37.39758,TRUE,TRUE,male,FUND3
Marjory,Maggio,79,2.001086,36.372876,FALSE,FALSE,female,FUND1
Abdiel,Gottlieb,46,3.123351,36.966898,TRUE,FALSE,female,FUND1
Doug,Cassin,44,2.402912,36.235248,TRUE,FALSE,male,FUND1
Dedric,Grimes,28,2.60952,37.25371,TRUE,TRUE,female,FUND2
Clay,Batz,62,1.334229,36.208243,FALSE,TRUE,female,FUND1
Kellen,Ullrich,31,0.122278,36.696644,FALSE,TRUE,female,FUND3
Jeramie,Spinka,56,2.503388,36.546139,FALSE,TRUE,female,FUND1
Bennett,Haag,30,-0.644231,37.852069,FALSE,FALSE,male,FUND1
Alize,Champlin,26,-0.45566,37.955752,TRUE,FALSE,male,FUND1
Samson,Crist,22,-0.378669,37.546464,TRUE,FALSE,female,FUND3
Imogene,Schultz,64,-0.409525,37.516415,TRUE,FALSE,male,FUND2
Yadira,Lemke,43,1.076185,38.17938,TRUE,FALSE,female,FUND3
Eden,Lueilwitz,45,1.582936,36.821009,TRUE,TRUE,female,FUND1
Dillan,Barrows,60,-1.012721,36.848496,FALSE,FALSE,male,FUND3
Saul,Sporer,52,-0.555536,37.296881,TRUE,TRUE,male,FUND1
Lloyd,D'Amore,66,-1.054206,37.811856,FALSE,TRUE,female,FUND3
Johann,Rowe,67,0.855506,36.844781,TRUE,TRUE,male,FUND2
Carlos,Walker,38,0.05235,37.02966,TRUE,TRUE,female,FUND1
Nigel,Schaden,34,2.77761,37.004675,FALSE,FALSE,female,FUND1
Maegan,Ullrich,58,-0.31646,36.652018,FALSE,FALSE,male,FUND3
Precious,Prohaska,60,-0.782861,36.5348,FALSE,FALSE,male,FUND3
Erik,Huel,38,2.863696,37.767749,TRUE,TRUE,female,FUND3
Mae,Lynch,46,2.971334,36.913304,FALSE,TRUE,female,FUND1
Agnes,Bernhard,27,0.86967,37.477302,FALSE,TRUE,male,FUND2
Abdullah,Purdy,24,2.415551,38.151851,TRUE,FALSE,male,FUND3
Faustino,Zulauf,73,0.005147,37.042981,FALSE,FALSE,female,FUND2
Frida,Kohler,68,-0.060336,37.396409,TRUE,FALSE,male,FUND2
Betsy,Borer,71,-1.044393,36.38642,TRUE,FALSE,male,FUND2
Erik,Sipes,78,-1.561098,36.249761,FALSE,TRUE,male,FUND1
Gillian,Dickinson,71,1.522879,36.93525,FALSE,TRUE,male,FUND2
Mariah,Powlowski,73,1.510638,36.704831,FALSE,TRUE,female,FUND1
Eliezer,Crooks,67,-1.071825,36.676306,FALSE,FALSE,male,FUND2
Oran,Brekke,55,-0.521047,37.985873,TRUE,FALSE,female,FUND3
Robin,Oberbrunner,63,-0.155624,37.703622,FALSE,FALSE,female,FUND1
Derrick,Jones,20,2.587935,36.252133,FALSE,FALSE,female,FUND2
Ena,Gottlieb,62,0.463978,36.418952,FALSE,FALSE,male,FUND1
Abbie,Shanahan,78,1.483173,36.57858,FALSE,TRUE,male,FUND3
Lura,Kulas-McKenzie,47,0.351276,36.463134,FALSE,FALSE,male,FUND3
Regan,Wilderman,57,-0.578995,38.440535,FALSE,TRUE,male,FUND3
Faustino,Bode,45,1.293503,37.042324,TRUE,TRUE,male,FUND2
Litzy,McLaughlin,52,1.785911,38.134609,FALSE,FALSE,male,FUND1
Robert,Buckridge-Stoltenberg,79,0.610181,37.51545,FALSE,FALSE,female,FUND1
Rosalinda,Lueilwitz,23,0.238683,37.241774,FALSE,FALSE,female,FUND1
Devante,Schmitt,67,2.193819,36.532707,FALSE,TRUE,male,FUND2
Cicero,West,78,2.326952,36.811906,TRUE,TRUE,female,FUND3
Rahul,Wilkinson,46,2.148162,36.291374,TRUE,TRUE,female,FUND1
Freida,Moen,57,-0.644251,36.349376,TRUE,FALSE,male,FUND2
Marcel,Boehm,44,2.963019,37.777784,FALSE,TRUE,female,FUND1
Easton,Christiansen,49,1.517002,37.25776,TRUE,FALSE,male,FUND1
Baron,Keeling,33,2.156225,37.584535,TRUE,TRUE,male,FUND2
Edmund,Heller,52,0.13781,37.206647,TRUE,TRUE,male,FUND3
Meredith,Howell,80,-0.341913,37.686831,TRUE,TRUE,male,FUND3
Kiley,Strosin,23,1.86429,36.555588,FALSE,TRUE,male,FUND3
Nat,Rogahn,43,-0.440418,38.070427,TRUE,FALSE,female,FUND1
Marcella,Dibbert,49,2.849326,36.769759,FALSE,FALSE,female,FUND1
Dennis,Hamill,45,1.555486,36.651839,FALSE,FALSE,male,FUND1
Ellen,Waters,73,-0.94357,37.430485,TRUE,FALSE,female,FUND1
Dudley,Kulas,39,-1.332008,36.36639,FALSE,FALSE,male,FUND2
Lorenza,Mohr,43,2.396651,36.356959,FALSE,TRUE,female,FUND3
Ignatius,O'Connell-Mosciski,29,1.190522,38.432461,FALSE,FALSE,female,FUND2
Amara,Wilderman,70,2.540372,36.768235,TRUE,TRUE,female,FUND1
Jana,Hilll,24,2.470048,36.608589,FALSE,FALSE,male,FUND1
Vita,Keeling,43,1.10142,36.45838,TRUE,FALSE,male,FUND3
Gavin,Koepp,49,2.215587,36.6876,FALSE,TRUE,female,FUND2
Gabriella,Weissnat-Russel,30,-0.921418,38.334293,FALSE,FALSE,female,FUND3
Kris,Vandervort,47,1.440867,37.158949,TRUE,TRUE,male,FUND1
Columbus,Donnelly,30,-1.230133,36.51052,FALSE,FALSE,male,FUND2
Price,Spencer,52,1.759621,36.731965,TRUE,TRUE,female,FUND1
Gia,Cremin,39,0.765594,36.43577,TRUE,TRUE,male,FUND3
Bart,Wisozk,79,0.676735,38.182824,TRUE,FALSE,male,FUND3
Emil,Howell,46,2.561156,37.82955,TRUE,FALSE,male,FUND3
Leanna,Bashirian,55,-1.406093,37.291666,FALSE,FALSE,male,FUND1
Allison,Pfeffer,28,1.411237,37.083467,FALSE,FALSE,female,FUND1
Edward,Sawayn,41,2.923086,37.962031,TRUE,FALSE,male,FUND3
Emerald,Morissette,72,1.627513,37.886497,TRUE,TRUE,female,FUND1
Benny,Sporer,59,2.353998,36.848299,FALSE,TRUE,male,FUND2
Deshawn,Kunze,78,-1.344694,37.272163,TRUE,FALSE,male,FUND2
Anastacio,Carroll,27,1.964062,37.554705,FALSE,FALSE,female,FUND1
Ashlee,Koch,55,0.14019,37.672182,TRUE,TRUE,male,FUND1
Zoey,Crona,70,2.586567,36.755967,TRUE,FALSE,male,FUND3
Camren,Mayert,65,0.589243,37.820757,FALSE,TRUE,female,FUND2
Angel,Will,66,0.113931,37.129698,TRUE,TRUE,male,FUND1
Jessyca,McGlynn,74,0.248973,36.67062,FALSE,FALSE,male,FUND3
Selena,McKenzie,20,1.238513,38.072086,FALSE,FALSE,female,FUND2
Ambrose,Sawayn,75,1.522373,36.668135,TRUE,TRUE,female,FUND1
Susanna,Quigley,27,0.732759,38.144568,TRUE,FALSE,female,FUND3
Roman,Howe,61,0.840288,37.374092,FALSE,FALSE,female,FUND2
Marjolaine,Emmerich,56,0.448554,37.19512,TRUE,TRUE,male,FUND3
Verna,Bauch,65,2.277659,38.438535,FALSE,TRUE,female,FUND2
Franz,Ebert,62,-1.163665,36.478127,TRUE,TRUE,male,FUND1
Emma,Schneider,61,-0.116549,37.007594,FALSE,TRUE,male,FUND1
Garrick,Bogan,64,1.609895,37.785269,FALSE,TRUE,male,FUND1
Keon,Wolf,45,3.199444,36.334388,FALSE,FALSE,male,FUND1
Sydney,Smith,75,3.28429,37.795144,TRUE,FALSE,male,FUND2
Emerson,Gorczany,80,-1.450262,38.073727,FALSE,FALSE,male,FUND1
Karl,Gleichner-Volkman,74,-1.027183,37.393141,TRUE,TRUE,female,FUND2
Edison,McLaughlin,46,3.108863,38.010077,TRUE,FALSE,male,FUND2
Maxine,Lemke,66,-1.290372,36.558358,TRUE,TRUE,male,FUND1
Demetrius,Runolfsson,23,0.856322,38.055803,FALSE,TRUE,female,FUND1
Marlen,Doyle,29,2.715161,36.648175,TRUE,FALSE,male,FUND2
Sammie,Zieme,23,-0.680401,37.119464,TRUE,FALSE,male,FUND1
Adrienne,Schroeder,30,0.689988,37.884483,TRUE,TRUE,female,FUND1
Alva,Murazik,53,0.157146,37.601459,FALSE,TRUE,female,FUND1
Annabel,Kutch,59,0.206081,38.423163,TRUE,TRUE,female,FUND2
Aniyah,Schultz,42,-0.50633,36.375201,TRUE,TRUE,male,FUND2
Maybelle,Willms,76,1.950823,36.917178,FALSE,FALSE,male,FUND2
Horace,Rath,46,0.064606,37.806064,FALSE,TRUE,female,FUND3
Ezra,Hansen,79,0.342824,37.460744,TRUE,FALSE,female,FUND1
Lukas,Price,21,-0.616902,38.031749,FALSE,TRUE,female,FUND2
Barrett,Schmeler,50,-0.174817,37.550492,FALSE,TRUE,male,FUND3
Marge,Marquardt,34,0.12786,37.237656,TRUE,FALSE,female,FUND2
Sandrine,Fritsch,40,2.843551,36.233157,FALSE,FALSE,male,FUND3
Ryley,Schumm,33,-0.80188,36.714296,TRUE,FALSE,female,FUND2
Ardith,Koepp,41,3.15334,37.023982,TRUE,FALSE,male,FUND1
Macy,Waters,37,0.75065,36.640906,TRUE,FALSE,male,FUND2
Eveline,Reynolds,65,0.65577,38.242265,TRUE,TRUE,female,FUND2
Reed,Gleason,72,0.588118,36.859705,TRUE,FALSE,male,FUND3
Deshawn,Wunsch,33,-1.272539,38.071167,TRUE,FALSE,female,FUND2
Malvina,Yundt,40,2.789345,36.79078,TRUE,FALSE,male,FUND1
Jamison,Lindgren,38,2.704929,37.074238,FALSE,FALSE,male,FUND3
Sammy,Luettgen,63,1.341019,38.231978,FALSE,TRUE,male,FUND3
Marguerite,Ratke,68,2.819817,36.566865,TRUE,FALSE,male,FUND3
Diana,Block,33,0.721888,36.424152,FALSE,FALSE,male,FUND3
Assunta,VonRueden,25,-0.159227,36.617931,TRUE,FALSE,female,FUND3
Astrid,Walker,77,0.421776,36.342214,TRUE,TRUE,male,FUND3
Ciara,Moen,30,-1.237974,36.211324,FALSE,FALSE,female,FUND2
Mittie,Littel,43,-0.249167,37.070975,TRUE,FALSE,male,FUND2
Eldred,Kuhic,52,-1.267621,36.419767,FALSE,TRUE,female,FUND2
Bernadine,Lockman,38,-1.431842,38.002522,TRUE,TRUE,male,FUND3
Evans,Herman,62,1.815481,38.379949,FALSE,FALSE,male,FUND2
Ransom,Leffler,80,0.41109,38.271711,TRUE,TRUE,female,FUND2
Violette,Skiles,36,-0.218981,37.295885,TRUE,FALSE,female,FUND2
Bridgette,Davis,46,1.716173,36.377178,FALSE,TRUE,male,FUND2
Ernestina,Zulauf,78,1.27627,37.683166,TRUE,FALSE,male,FUND1
Lela,Koss,62,1.958805,37.164697,FALSE,FALSE,male,FUND2
Margaret,Adams,75,1.60824,36.880061,FALSE,FALSE,female,FUND1
Fred,Rempel,41,2.312934,37.497721,TRUE,FALSE,female,FUND1
Alejandrin,Sawayn,68,2.751209,36.37845,FALSE,TRUE,female,FUND1
Carlos,Hayes,40,-0.998775,37.751735,FALSE,TRUE,male,FUND2
Angela,Conroy,58,-1.005652,37.237826,TRUE,FALSE,female,FUND1
Tabitha,Yost,80,2.815101,36.929638,TRUE,FALSE,female,FUND1
Turner,Lesch,21,3.190875,37.17051,FALSE,FALSE,female,FUND3
Adan,Gorczany,69,0.000375,36.910448,FALSE,TRUE,male,FUND3
Alison,McClure,51,-0.546595,38.317553,FALSE,TRUE,female,FUND2
Nakia,Kshlerin,38,-0.00925,38.079244,TRUE,FALSE,male,FUND3
Lera,Carter,64,-0.427673,38.259941,FALSE,TRUE,male,FUND1
Charlie,Brown-Connelly,30,1.779823,37.897575,TRUE,FALSE,female,FUND1
Keara,Pouros,62,1.907995,37.66291,TRUE,TRUE,male,FUND1
Juliana,Schaden,79,1.710422,37.071202,FALSE,FALSE,female,FUND2
Jessika,White,25,0.127303,37.385794,FALSE,TRUE,male,FUND1
Kadin,Leuschke,56,-0.180831,36.833051,FALSE,TRUE,female,FUND3
Marta,Zboncak,22,-0.400666,36.310838,FALSE,TRUE,female,FUND3
Meredith,Boyer,29,1.913584,36.678918,TRUE,TRUE,female,FUND2
Zetta,Gleichner,51,1.337968,37.038549,FALSE,TRUE,male,FUND2
Rhett,McClure,38,2.540918,37.298301,TRUE,FALSE,male,FUND1
Delfina,Mueller,60,2.481593,36.547463,TRUE,FALSE,male,FUND3
Gia,Little,35,1.540072,36.758327,FALSE,TRUE,male,FUND3
Brooks,Mills,29,3.182861,37.942943,FALSE,FALSE,female,FUND2
Agustina,Conroy,29,-0.259359,36.586903,TRUE,TRUE,female,FUND2
Melyssa,Murphy,51,2.372642,37.500082,TRUE,FALSE,female,FUND2
Dan,Barton,77,0.453947,38.177791,TRUE,FALSE,female,FUND1
Issac,Feeney,39,1.405962,37.037359,TRUE,TRUE,male,FUND2
Cristopher,Grimes,43,2.294704,36.482947,TRUE,FALSE,female,FUND1
Kory,Schroeder-Runolfsson,21,2.571816,37.283678,TRUE,FALSE,male,FUND1
Clay,DuBuque,57,2.463901,36.851954,TRUE,TRUE,female,FUND2
Mekhi,Gleason,39,2.159152,37.096744,FALSE,FALSE,male,FUND1
Marisa,Schuster-Spencer,77,1.374638,37.498775,FALSE,TRUE,female,FUND2
Berneice,Wiegand,27,1.305534,37.947457,TRUE,TRUE,female,FUND1
Sofia,Bradtke,72,-1.377134,36.682266,TRUE,FALSE,male,FUND1
Krystel,Price,71,2.903593,36.651826,TRUE,TRUE,female,FUND3
Mandy,Olson,76,2.632936,37.290569,FALSE,TRUE,male,FUND3
Kaleb,Larkin,42,1.483317,36.448895,FALSE,TRUE,male,FUND2
Justine,Bednar,32,-0.207417,38.021833,FALSE,TRUE,female,FUND1
Myrtis,Medhurst,50,0.19845,37.151498,FALSE,FALSE,female,FUND3
Anastacio,Bradtke,59,-1.377191,37.790096,TRUE,TRUE,male,FUND3
Paris,Kozey-Quitzon,73,1.317217,36.584606,TRUE,TRUE,female,FUND2
Vivianne,Hayes,64,1.987452,37.505773,TRUE,FALSE,male,FUND2
Helene,Harris,74,0.954193,37.886927,TRUE,TRUE,male,FUND1
Reagan,Rodriguez-Fahey,67,0.369139,37.857722,TRUE,TRUE,female,FUND1
Jaqueline,Nienow,51,2.166509,38.29529,FALSE,FALSE,male,FUND3
Favian,Shanahan,70,0.937635,37.0118,FALSE,FALSE,male,FUND2
Vida,Torphy,76,0.291,36.350188,TRUE,TRUE,female,FUND1
Jarred,McDermott,72,-0.380214,37.783884,TRUE,TRUE,female,FUND1
Lexie,Ullrich,76,-0.218988,37.508314,FALSE,FALSE,male,FUND1
Keely,Erdman,32,0.477082,38.290749,TRUE,FALSE,male,FUND2
Diamond,Buckridge,31,1.418189,36.939893,TRUE,FALSE,male,FUND2
Nick,Bergstrom,46,-0.043712,38.444031,FALSE,TRUE,male,FUND2
Lance,Stark,46,2.408156,38.05383,FALSE,TRUE,female,FUND3
Lavada,Funk,78,2.528725,36.375725,FALSE,FALSE,male,FUND2
Asha,Pagac,29,0.463106,36.360768,TRUE,TRUE,female,FUND3
Zita,Walter,62,-0.782751,37.49229,TRUE,FALSE,male,FUND3
Verner,Lueilwitz,46,-0.367462,37.971709,TRUE,TRUE,female,FUND3
Demarco,Luettgen,31,0.085826,36.511082,TRUE,FALSE,male,FUND1
Serenity,Grant,69,1.283195,37.965919,TRUE,FALSE,female,FUND2
Deon,Shields,76,-1.553896,38.379804,FALSE,TRUE,male,FUND2
Colt,Ritchie,56,0.027623,36.878919,TRUE,TRUE,male,FUND1
Haylie,Mertz,32,1.435484,37.847273,TRUE,TRUE,female,FUND1
Sim,Ortiz,63,0.240586,36.822419,TRUE,TRUE,female,FUND3
Columbus,Lindgren,76,2.40009,36.523124,FALSE,FALSE,male,FUND1
Olaf,Turcotte,51,0.386206,36.306604,TRUE,FALSE,male,FUND3
Mable,Schmitt,58,-1.076485,38.416648,FALSE,FALSE,female,FUND3
Koby,Bergstrom,38,-0.581725,37.758514,FALSE,FALSE,female,FUND2
Keenan,Jacobi,21,2.761017,36.322716,TRUE,FALSE,female,FUND3
Micah,Schowalter,39,2.104071,38.36739,FALSE,TRUE,male,FUND2
Margot,Kuphal,62,0.170428,38.180305,TRUE,TRUE,male,FUND3
Kailee,Fadel,64,1.62947,38.444789,TRUE,FALSE,female,FUND3
Cole,Bechtelar,74,3.078329,38.237538,FALSE,TRUE,female,FUND3
Theresia,Luettgen,42,-0.683851,37.90604,TRUE,TRUE,female,FUND1
Rhianna,Kutch,46,-1.258212,36.477281,TRUE,TRUE,male,FUND1
Velda,O'Keefe,30,2.234615,37.015565,TRUE,FALSE,male,FUND3
Chandler,Doyle-Rippin,51,1.300245,37.764768,FALSE,FALSE,female,FUND1
Peggie,Leffler,31,-1.150017,38.008255,FALSE,FALSE,male,FUND2
Ofelia,O'Connell,25,-1.240725,38.080161,TRUE,TRUE,female,FUND3
Antonina,Pfeffer,55,-0.894279,36.863307,TRUE,TRUE,male,FUND3
Raul,Lehner,71,0.029427,37.405602,FALSE,TRUE,female,FUND1
Ceasar,Bahringer,44,1.041542,36.170032,TRUE,FALSE,female,FUND3
Mackenzie,Cole,26,2.414978,36.773992,FALSE,TRUE,male,FUND3
Santa,Schmidt,66,0.110573,36.583151,TRUE,TRUE,female,FUND1
Euna,Crona,58,-0.991665,38.116054,FALSE,TRUE,male,FUND2
Timmothy,Schamberger,77,1.946055,36.327831,FALSE,FALSE,female,FUND2
Laverne,Watsica,65,-1.374895,36.719196,TRUE,TRUE,male,FUND3
Joe,Bernier,73,-0.01533,36.605347,TRUE,FALSE,male,FUND1
Brown,Hansen,73,1.924999,37.819684,FALSE,FALSE,male,FUND1
Armando,Rolfson,77,-0.49248,36.73884,TRUE,TRUE,female,FUND1
Flo,Carroll,70,1.252111,37.590436,FALSE,FALSE,male,FUND2
Soledad,Veum,30,3.110395,37.013101,TRUE,TRUE,female,FUND1
Danika,Langworth,26,2.832557,37.269779,FALSE,TRUE,female,FUND2
Berenice,Hoeger,40,-0.738361,37.043286,TRUE,FALSE,female,FUND3
Dominique,Hauck,65,-1.331431,36.547714,TRUE,TRUE,female,FUND1
Lilliana,Zemlak,59,-1.044112,36.818226,FALSE,TRUE,male,FUND1
Brennan,Homenick,60,-1.606582,36.442082,TRUE,TRUE,male,FUND2
Flo,Champlin,36,1.97305,36.348205,FALSE,TRUE,female,FUND1
Craig,Kertzmann,42,2.382704,38.380889,FALSE,TRUE,male,FUND1
Burnice,Rohan,51,1.879827,37.826501,TRUE,TRUE,female,FUND2
Felix,Mayert,38,2.866205,36.474929,FALSE,FALSE,male,FUND3
Mayra,Nienow,56,0.009399,37.651028,TRUE,FALSE,female,FUND1
Devin,Legros,30,1.301425,36.5313,FALSE,TRUE,female,FUND2
Malinda,Kuhlman,20,-1.259452,37.190011,TRUE,FALSE,male,FUND1
Eliza,Tromp,80,-1.557987,37.853997,TRUE,TRUE,female,FUND3
Mohammed,Bernhard,61,0.690785,36.375781,FALSE,TRUE,female,FUND1
Casimir,Murazik,30,2.8344,38.196517,TRUE,TRUE,male,FUND3
Ines,Smitham,60,2.521867,38.120336,TRUE,TRUE,male,FUND3
Ronny,Corkery,36,2.45445,36.676318,TRUE,TRUE,male,FUND2
